Types,AZ,CO,ID,MT,NM,NV,NorCal,PNW,SD_IID,SoCal,UT,WY
STOR,14570.795143295281,4941.096006549593,1244.8349611349627,1220.8950362318842,8465.116619103572,13635.94544484515,21137.65922579133,3329.7236687469394,1982.6905622127474,11743.76476305915,7246.152824861673,1981.0946977928995
SOLAR,5062.55784303092,8394.143159252008,1934.499300844058,1017.0,15088.669007649805,38159.5,42117.7,19165.26214322388,7115.61613982519,39167.2,1198.7,92.0
BIOPOWER,0.0,55.81987653437478,861.0141637158349,0.0,0.0,0.0,182.886,1734.1106410811676,0.0,114.804,0.0,0.0
NONCCS_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCS_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEOTHERMAL,0.0,0.0,12.2,0.0,13.8,741.8,889.4,30.8,680.1,291.0,71.0,0.0
WIND,63.0,15652.5,0.0,0.0,16195.5,8343.6,0.0,2093.0,0.0,1853.3,1038.8250657073772,25406.22529486488
NONCCS_GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCS_GAS,18333.555826358097,5463.052301051874,0.0,0.0,0.0,0.0,2344.0011713326876,2517.9194929127957,0.0,0.0,0.0,0.0
HYDRO,2840.902,679.6,1811.868,2601.3959999999997,82.701,1050.6000000000001,8078.615,30613.155000000002,75.394,1808.938,261.809,307.2
NUCLEAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
